index,MOF,node 1,node 2,edge,topo,UG,UG_five_level,Unnamed: 8,Unnamed: 9,index.1,Unnamed: 11,node 1.1,node 2.1,edge.1,UG_five_level.1
108.0,sym_16_mc_6__L_22,sym_16_mc_6,,L_22,bcs,4.43,Bad,,0,108.0,,sym_16_mc_6,,L_22,Bad
143.0,sym_10_mc_10__L_11,sym_10_mc_10,,L_11,bct,1.829,Bad,,0,143.0,,sym_10_mc_10,,L_11,Bad
239.0,sym_8_mc_8__L_13,sym_8_mc_8,,L_13,bcu,6.278,Bad,,0,239.0,,sym_8_mc_8,,L_13,Bad
267.0,sym_8_mc_8__L_39,sym_8_mc_8,,L_39,bcu,0.841,Bad,,0,267.0,,sym_8_mc_8,,L_39,Bad
341.0,sym_3_mc_0_sym_4_mc_1_L_1,sym_3_mc_0,sym_4_mc_1,L_1,bor,17.84,Average,,0,341.0,,sym_3_mc_0,sym_4_mc_1,L_1,Average
363.0,sym_3_mc_0_sym_4_mc_1_L_3,sym_3_mc_0,sym_4_mc_1,L_3,bor,22.346,Good,,0,363.0,,sym_3_mc_0,sym_4_mc_1,L_3,Good
511.0,sym_3_mc_0_sym_4_on_7_L_5,sym_3_mc_0,sym_4_on_7,L_5,bor,15.302,Average,,0,511.0,,sym_3_mc_0,sym_4_on_7,L_5,Average
2035.0,_sym_4_mc_1_sym_4_on_6_L_18,sym_4_mc_1,sym_4_on_6,L_18,dia,16.663,Average,,0,2035.0,,sym_4_mc_1,sym_4_on_6,L_18,Average
748.0,sym_3_on_4_sym_4_mc_1_L_46,sym_3_on_4,sym_4_mc_1,L_46,bor,46.29,Excellent,,0,748.0,,sym_3_on_4,sym_4_mc_1,L_46,Excellent
760.0,sym_3_on_5_sym_4_mc_1_L_13,sym_3_on_5,sym_4_mc_1,L_13,bor,24.073,Good,,0,760.0,,sym_3_on_5,sym_4_mc_1,L_13,Good
817.0,sym_9_mc_5__L_22,sym_9_mc_5,,L_22,crs,11.605,Poor,,0,817.0,,sym_9_mc_5,,L_22,Poor
859.0,sym_5_mc_2_sym_8_mc_8_L_11,sym_5_mc_2,sym_8_mc_8,L_11,csq,8.653,Bad,,0,859.0,,sym_5_mc_2,sym_8_mc_8,L_11,Bad
924.0,sym_5_mc_2_sym_8_mc_9_L_27,sym_5_mc_2,sym_8_mc_9,L_27,csq,13.466,Poor,,0,924.0,,sym_5_mc_2,sym_8_mc_9,L_27,Poor
940.0,sym_5_mc_2_sym_8_mc_9_L_41,sym_5_mc_2,sym_8_mc_9,L_41,csq,16.932,Average,,0,940.0,,sym_5_mc_2,sym_8_mc_9,L_41,Average
963.0,sym_5_on_10_sym_8_mc_7_L_19,sym_5_on_10,sym_8_mc_7,L_19,csq,14.469,Poor,,0,963.0,,sym_5_on_10,sym_8_mc_7,L_19,Poor
1030.0,sym_5_on_10_sym_8_mc_8_L_37,sym_5_on_10,sym_8_mc_8,L_37,csq,22.195,Good,,0,1030.0,,sym_5_on_10,sym_8_mc_8,L_37,Good
